id,url,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades ,Swimming pool,State of the building
10145284,https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/10145284?searchId=63393c00d78f8,9051,APARTMENT,APARTMENT,398000,residential_sale,,94,HYPER_EQUIPPED,False,False,True,4,,,,,2,False,AS_NEW
10145282,https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/10145282?searchId=63393c00d78f8,9051,APARTMENT,APARTMENT,398000,residential_sale,,95,HYPER_EQUIPPED,False,False,True,3,,,,,2,False,AS_NEW
10145279,https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/10145279?searchId=63393c00d78f8,9051,APARTMENT,APARTMENT,459000,residential_sale,,108,HYPER_EQUIPPED,False,False,True,4,,,,,2,False,AS_NEW
10144879,https://www.immoweb.be/en/classified/flat-studio/for-sale/oostende/8400/10144879?searchId=63393c00d78f8,8400,APARTMENT,FLAT_STUDIO,149000,residential_sale,,45,INSTALLED,True,False,,,,,,,,False,GOOD
10065267,https://www.immoweb.be/en/classified/ground-floor/for-sale/verviers/4800/10065267?searchId=63393c00d78f8,4800,APARTMENT,GROUND_FLOOR,174000,residential_sale,,100,INSTALLED,False,False,True,28,,,,,3,False,JUST_RENOVATED
10143013,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10143013?searchId=63393c00d78f8,9800,APARTMENT,APARTMENT,183380,residential_sale,,80,INSTALLED,False,False,True,,,,,,2,,TO_BE_DONE_UP
10145981,https://www.immoweb.be/en/classified/apartment/for-sale/edegem/2650/10145981?searchId=63393c0ebf09d,2650,APARTMENT,APARTMENT,269000,residential_sale,,72,USA_INSTALLED,False,False,True,8,,,,,,,
10132397,https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10132397?searchId=63393c0ebf09d,1180,APARTMENT,PENTHOUSE,406000,residential_sale,,92,USA_HYPER_EQUIPPED,False,False,True,31,,,,,2,False,AS_NEW
10132381,https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/10132381?searchId=63393c0ebf09d,1160,APARTMENT,APARTMENT,531500,residential_sale,,104,USA_HYPER_EQUIPPED,False,False,True,25,,,,,2,False,AS_NEW
10131170,https://www.immoweb.be/en/classified/apartment/for-sale/herstal/4040/10131170?searchId=63393c0ebf09d,4040,APARTMENT,APARTMENT,199000,residential_sale,,95,,False,False,,,,,,,3,,GOOD
